"month","poverty","What are the biggest challenges and concerns for you and your family right now?","What is helping you and your family the most right now?","What would you like your elected officials or other policymakers (for example, U.S. Congress, state and local leaders) to know about how your family is doing or what you need during this time?","What are the biggest challenges and concerns for you as a child care provider right now?","What is helping you as a child care provider the most right now?","What would you like your elected officials or other policymakers (for example, U.S. Congress, state and local leaders) to know about how you are doing or what you need as a child care provider during this time?","You may know that President Biden's administration and Congress have been working on the American Families Plan. How do you think the programs and funds from the American Families Plan will impact providers?","When thinking about the parent(s) of the child/children that you care for right now, what role do they play in your life?","When thinking about the child/children that you care for right now, what role do they play in your life?","What do you want federal and/or state officials that oversee funding for child care providers to know?","Has the COVID-19 surge related to Omicron impacted you and your job as a child care provider? If so, please describe how.","What changes, if any, have you noticed in how parents are thinking about and using child care for their child(ren) under 6 years of age in the last four years (since March 2020)?","Are you concerned that events occurring in the US and in the world right now (e.g., extreme weather events, political tension, conflict, etc.) are affecting the child(ren) you care for? If so, how?","How, if at all, did Hurricane Helene impact you and your ability to provide child care, and what are your most pressing needs or challenges in the aftermath of the storm?","What changes, if any, have you noticed in your community or daily life since January, and how have these affected you and your work as a child care provider?"
"2021/02","Below 200%FPL","Rent","Unemployment","","Food","Family","","","","","",NA,NA,NA,NA,NA
"2021/03","Below 200%FPL","Getting the vaccine as soon as possible.","Prayer and the generosity of others.","It's a struggle to get by on very little income.","","","","","","","",NA,NA,NA,NA,NA
"2021/07","Below 200%FPL","Money","","","Transportation access","Job","","","","","Providers don't make enough money.",NA,NA,NA,NA,NA
"2021/07","Below 200%FPL","Money is the biggest challenge.","","","Health of students and their families.","Friends","","","","","More money for childcare providers.",NA,NA,NA,NA,NA
"2021/09","Below 200%FPL","Money, health, car","","","Transportation for the students.","Administration, coworkers and friends.","","","","","That it's a hard job and teachers need to make more money.",NA,NA,NA,NA,NA
"2021/10","Below 200%FPL","Money","","","Negative behavior in children.","Director, coworkers","","","","","We get paid too little.",NA,NA,NA,NA,NA
"2021/11","Below 200%FPL","Income","","","Commute, self-care","Director","","I'm not sure.","","","Teachers are tired",NA,NA,NA,NA,NA
"2021/11","Below 200%FPL","Finances","","","There's no vaccine for the kids","Friends","","","","","We don't get paid enough.",NA,NA,NA,NA,NA
"2021/12","Below 200%FPL","Finances.","","","Not enough help for my students with special needs.","Director, coworkers.","","","We're a team.","I love them.","We work incredibly hard for very little pay.",NA,NA,NA,NA,NA
"2022/01","Below 200%FPL","Finances",NA,NA,"Mental health of myself.","Church, friends, family",NA,NA,NA,NA,"That every teacher deserves a huge raise.","We work virtually currently.",NA,NA,NA,NA
