"month","poverty","child disability","family structure","What are the biggest challenges and concerns for you and your family right now?","What is helping you and your family the most right now?","What is on your mind the most when you think about your community re-opening?","What concerns do you have about your place of employment and/or your child’s child care setting re-opening?","Is there anything else you would like to tell us about you and your family’s experiences during the COVID-19 pandemic?","Now that the school year has started, we would like you to think about what resources would make things easier for you to support them. This could be technology, better internet access, more time, support etc.

If you have older children who are of school age, what are the resources that you wish you had (or need) in order to support your child’s education?","Many parents are also primarily responsible for their younger children’s early learning. If this is true of you, what additional resources would be helpful to make your child’s educational experience successful?

This could be toys, books, adult attention etc.","What would you like your elected officials or other policymakers (for example, U.S. Congress, state and local leaders) to know about how your family is doing or what you need during this time?","What would you like your employer or all employers to know about what families need during this next phase of the COVID-19 pandemic and recovery period?","Is there anything else you would like to share or add?","Are you concerned that events occurring in the US and in the world right now (e.g., extreme weather events, political tension, conflict, etc.) are affecting your child(ren)? If so, how?","Has your child(ren) said anything to you about the events that are ocurring in the US and in the world right now? If so, what are they saying?","As a parent, what are the highest priorities for you right now?","Are there supports or services that you currently rely on that help you be the kind of parent you most want to be? If so, please describe.","Are there additional supports or services that would help you to be the kind of parent you most want to be? If so, please describe.","As a parent, what are the long-term goals that you have for your child(ren) in areas such as school, friends, money, future career, or any other area?","Are there supports or services that you currently rely upon that are helpful in achieving your long-term goals for your child(ren)?","What sorts of additional supports or services would be most helpful to assist you in achieving your long-term goals for your children?","What are ways you know whether your child age 3 or under is doing really well or thriving?","As a parent, what are the highest priorities for your family right now?","Are there supports or services that you currently find most helpful for your family? If so, please describe.","Are there additional supports or services not currently available that would be helpful to your family? If so, please describe.","TIMER.B.OPEN.001_Click_Count","TIMER.B.OPEN.001_First_Click","TIMER.B.OPEN.001_Last_Click","TIMER.B.OPEN.001_Page_Submit","TIMER.OPEN.001_Click_Count","TIMER.OPEN.001_First_Click","TIMER.OPEN.001_Last_Click","TIMER.OPEN.001_Page_Submit","What are ways you know whether your child age 6 or under is doing really well or thriving?","OPEN.024","TIMER.B.OPEN.002_First_Click","TIMER.B.OPEN.002_Last_Click","TIMER.B.OPEN.002_Page_Submit","TIMER.B.OPEN.002_Click_Count","TIMER.B.OPEN.003_First_Click","TIMER.B.OPEN.003_Last_Click","TIMER.B.OPEN.003_Page_Submit","TIMER.B.OPEN.003_Click_Count","TIMER.B.OPEN.004_First_Click","TIMER.B.OPEN.004_Last_Click","TIMER.B.OPEN.004_Page_Submit","TIMER.B.OPEN.004_Click_Count"
"2023/10","Below 200%FPL","Without disability","Non-dual parent","Money.","Benefits.",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,3,3.578,30.461,31.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/09","Below 200%FPL","Without disability","Non-dual parent","Money. Financial problems, no child care, no help with nothing. I?m a single mom of two girls, & I?m currently pregnant now.","Resources.",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,4,2.225,50.037,50.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/04","Below 200%FPL","Without disability","Non-dual parent","Financial problems.","Help from everyone.",NA,NA,NA,NA,NA,"I just need help financially.",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/04","Above 400%FPL","Without disability","Dual parents","Easier now, but childcare and logistics once I go back to work full time.eldest will start PK and well need to figure out before/aftercare and possibly purchase 2nd car.","Mother being on paid leave to be home with new son.",NA,NA,NA,NA,NA,"Flexibility with work schedules. So thankful husband has ability to work from home.",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/09","Above 400%FPL","Without disability","Dual parents","School choice and after school child care for free PK","Having family close and husbands ability to work from home. Using his paternity leave",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,7,3.455,42.376,43.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/08","Above 400%FPL","Without disability","Dual parents","Safety in DC. My husband and I were assaulted and robbed at Saturday date night. Then there have been multiple robberies within blocks of house in the following 3 days after incident. Some during daytime hours","Unsure",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,6,4.813,82.566,85.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/04","Above 400%FPL","Without disability","Dual parents","The state of the world","Daycare",NA,NA,NA,NA,NA,"PAID LEAVE FOR ALL AND AFFORDABLE CHILDCARE. Have these and the economy will flourish,",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/04","Below 200%FPL","Without disability","Non-dual parent","Budgeting","Inability to be disconnect due to pandemic",NA,NA,NA,NA,NA,"More resources",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07","200-400%FPL","With disability","Dual parents","Not enough income to live comfortably","Resources from community",NA,NA,NA,NA,NA,"Not to cut middle class and bring back affordable housing",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,13,3.575,148.526,149.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/04","200-400%FPL","With disability","Dual parents","I do not have a lot of family support","My boyfriend helps to watch the kids",NA,NA,NA,NA,NA,"Cheaper childcare",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
